"","depress1","depress2","depress3","depress4","depress5","depress6","depress7","depress8","depress9","depress10","depress11","depress12","depress13","depress14","depress15","depress16","depress17","depress18","depress19","depress20","depression","vote18","female","age","educ","hispanic","black","income","married","attend","unemployed","polint","inteff1","inteff2","motivation"
"45","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.25","1.0","0.0","73.0","6.0","0.0","0.0","11.0","1.0","1.0","0.0","1.0","0.25","0.5","0.5833333"
"46","3.0","2.0","1.0","1.0","1.0","3.0","4.0","1.0","1.0","4.0","1.0","1.0","2.0","4.0","2.0","2.0","2.0","3.0","1.0","1.0","2.0","1.0","1.0","43.0","7.0","0.0","1.0","4.0","0.0","1.0","1.0","0.6666667","0.75","0.75","0.7222222"
"47","1.0","2.0","1.0","1.0","1.0","1.0","1.0","3.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.25","1.0","1.0","61.0","5.0","0.0","0.0","13.0","1.0","5.0","0.0","0.6666667","1.0","1.0","0.8888889"
"48","1.0","2.0","2.0","2.0","1.0","3.0","1.0","2.0","1.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","3.0","3.0","1.0","1.0","2.0","1.0","1.0","70.0","3.0","0.0","0.0","6.0","0.0","4.0","0.0","0.6666667","0.5","0.25","0.47222224"
"49","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","4.0","1.0","1.0","4.0","4.0","1.0","1.0","1.0","1.0","1.0","1.6","1.0","1.0","56.0","6.0","0.0","0.0","12.0","0.0","5.0","0.0","1.0","1.0","1.0","1.0"
"50","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.1","1.0","0.0","77.0","6.0","0.0","0.0","13.0","1.0","2.0","0.0","0.6666667","0.75","1.0","0.8055556"
"51","2.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","2.0","1.45","0.0","0.0","54.0","5.0","0.0","0.0","9.0","1.0","1.0","0.0","0.33333334","0.5","0.5","0.44444445"
"52","3.0","2.0","2.0","3.0","2.0","1.0","2.0","4.0","2.0","1.0","2.0","3.0","1.0","1.0","3.0","3.0","2.0","1.0","3.0","2.0","2.15","0.0","0.0","32.0","6.0","1.0","0.0","3.0","1.0","2.0","0.0","1.0","0.75","0.5","0.75"
"53","1.0","2.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.3","0.0","1.0","39.0","5.0","1.0","0.0","4.0","1.0","2.0","1.0","0.0","0.5","0.5","0.33333334"
"54","4.0","3.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0","1.0","3.0","1.0","4.0","4.0","2.0","1.0","3.0","2.0","4.0","4.0","3.05","1.0","0.0","23.0","4.0","0.0","0.0","10.0","0.0","4.0","0.0","0.6666667","0.5","0.75","0.6388889"
"55","2.0","2.0","1.0","2.0","2.0","2.0","3.0","3.0","2.0","3.0","3.0","2.0","2.0","3.0","3.0","1.0","1.0","1.0","4.0","1.0","2.15","0.0","1.0","18.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","1.0","1.0","1.0","1.0"
"56","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","1.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","1.95","0.0","1.0","21.0","3.0","1.0","0.0","4.0","0.0","2.0","1.0","0.6666667","0.75","1.0","0.8055556"
