depression,vote18,female,age,educ,hispanic,black,income,married,attend,unemployed
2.6,1,0,33,5,1,0,6,0,2,0
2.75,0,1,49,5,1,0,11,1,2,0
2.05,0,1,45,5,1,0,8,1,4,1
1.6,0,1,36,6,0,0,9,1,3,1
2.9,0,1,22,2,1,0,4,0,4,0
2.2,1,1,65,5,1,0,4,1,2,0
3,0,1,18,3,1,0,1,0,2,0
1.35,1,1,74,3,1,0,4,1,4,0
1.95,0,1,74,5,1,0,2,0,4,0
1.85,1,0,48,2,0,0,2,0,1,1
1.85,1,1,51,6,1,0,9,1,3,0
2.15,1,0,29,3,1,0,6,0,2,1
1.7,0,0,49,5,1,0,5,0,1,0
2.25,0,1,47,2,1,0,1,0,5,1
1.7,1,1,60,2,0,1,7,0,1,0
2.25,0,0,36,5,1,0,4,1,1,0
1.1,1,1,56,3,1,0,11,1,1,0
1,0,1,31,5,1,0,2,0,5,0
1.2,1,1,25,2,0,1,6,0,1,0
1.55,1,0,33,2,1,0,4,0,1,0
1.35,1,1,35,3,1,1,6,0,2,0
1.4,0,1,32,5,1,0,6,1,2,0
3.1,1,1,33,3,0,0,5,1,4,0
1.65,0,1,58,4,1,0,4,1,2,0
2.75,1,1,28,5,1,0,7,0,1,0
1.3,0,1,66,3,1,0,7,1,4,1
1.45,1,1,54,5,0,0,4,0,1,1
1.1,1,1,72,7,0,0,13,1,2,0
2,1,1,76,3,0,0,5,0,1,0
1.75,1,1,38,6,0,0,11,1,2,0
1.05,0,1,60,3,0,0,2,0,1,0
2.4,0,1,39,2,0,0,4,1,1,1
2.65,1,0,63,5,0,0,11,1,1,0
1.8,0,1,30,5,0,0,6,0,1,0
1,0,1,60,3,0,0,7,1,1,0
1.35,1,1,48,5,0,0,5,0,1,0
1.8,1,0,77,5,0,0,12,1,1,0
2,0,1,18,2,0,0,11,0,3,1
2,1,1,26,2,0,1,5,0,1,0
1.9,1,1,74,5,0,0,9,1,1,0
1.5,1,0,64,5,0,0,11,1,5,0
1.05,1,1,64,5,0,0,9,1,2,0
2.3,1,1,59,5,0,0,12,1,4,0
1.4,1,0,60,5,0,1,11,0,3,0
1.2,1,0,61,5,0,0,12,1,4,0
3.45,0,1,36,3,0,1,4,0,2,0
1.45,1,1,58,2,0,0,4,1,1,0
1.3,1,0,76,3,0,0,5,1,4,0
1.05,0,1,59,4,0,0,5,0,4,0
1.2,0,0,61,1,0,0,2,1,5,1
1,1,0,69,5,0,0,13,1,4,0
1.25,1,0,73,2,0,0,9,1,1,0
1.85,1,1,68,4,0,0,4,0,4,0
2.15,1,1,69,3,0,0,7,1,1,0
1.15,1,1,62,3,0,0,4,0,1,0
1.05,1,1,69,3,0,1,7,0,4,0
3.55,1,0,21,4,0,0,7,0,2,1
1.05,1,0,76,7,0,0,6,0,2,0
1.05,1,1,75,6,0,0,11,1,1,0
2.2,1,1,73,7,0,0,5,0,1,0
1.4,1,1,71,6,0,0,12,1,2,0
2.5,0,1,19,3,0,0,2,0,1,1
1.4,1,1,79,2,0,0,7,1,4,0
1.3,1,1,74,2,0,0,9,1,1,0
1.4,1,0,68,5,0,0,13,1,2,0
1.4,1,0,73,7,0,0,13,0,2,0
1.05,1,1,73,5,0,0,5,0,2,0
1.75,1,1,52,5,0,0,6,0,1,0
1.9,1,1,19,5,0,0,11,0,1,1
1.3,1,1,72,6,0,0,12,0,2,0
1.3,0,0,55,5,0,0,9,1,1,0
1.45,1,1,69,2,0,0,3,0,1,0
1.1,1,1,74,7,0,0,11,0,2,0
1.2,1,1,75,2,0,0,2,0,1,0
1.35,1,1,78,6,0,0,4,0,1,0
3.5,0,0,70,6,0,0,2,0,2,1
1.45,1,1,73,5,0,0,11,1,4,0
2.1,1,0,58,6,0,0,8,1,1,0
1.55,1,1,67,4,0,0,5,0,4,0
2.2,1,1,81,3,0,0,9,1,4,0
1.75,1,0,59,1,0,0,3,1,2,0
1,1,1,81,2,0,0,3,0,3,0
1.5,1,1,61,4,0,0,5,1,4,0
1.15,1,1,60,5,0,0,11,1,3,0
1.3,1,1,59,4,0,0,1,0,4,0
1.35,1,1,69,5,0,1,3,0,5,0
1.3,1,0,58,5,0,0,4,0,1,0
1.25,1,1,63,3,0,0,8,0,2,0
1.2,1,1,70,5,0,0,4,0,4,0
1.1,1,1,67,4,0,0,11,1,2,0
1.65,0,1,64,2,0,0,6,1,4,0
1,0,1,55,6,0,0,13,1,3,0
2.65,0,1,59,2,0,0,4,0,1,0
1.35,1,1,69,3,0,0,10,0,1,0
2,1,0,88,7,0,0,11,1,1,0
1.05,1,0,72,4,0,0,9,1,1,0
1.25,1,1,61,3,0,0,4,1,1,0
1.35,1,1,60,3,0,0,7,1,1,0
3.1,1,1,71,2,0,1,2,0,4,0
1.65,1,1,73,5,0,0,6,0,1,0
1.3,1,0,80,3,0,0,10,0,1,0
1.25,1,0,72,7,0,0,11,0,2,0
1.25,1,0,69,7,0,0,6,0,2,0
1.25,1,0,76,6,0,0,10,0,1,0
3,1,1,60,2,0,0,3,0,1,0
1.45,1,1,57,2,0,0,4,1,2,1
1.4,1,1,71,2,0,0,4,0,5,0
2.5,1,1,61,2,0,0,4,1,4,1
1.15,1,1,68,2,0,0,9,1,4,0
1.5,0,1,69,2,0,0,3,0,4,0
1.75,1,0,57,5,0,0,12,0,3,0
2.3,0,1,58,2,0,0,6,0,1,1
2.3,0,1,28,4,0,1,1,0,3,0
1.1,1,1,60,4,0,0,12,0,1,0
1.05,1,0,69,5,0,0,6,1,1,0
1,1,1,64,2,0,0,4,0,1,0
1.1,1,0,70,4,0,0,9,1,3,0
2.55,0,1,43,2,0,0,11,1,2,0
1.35,1,1,58,5,0,1,6,0,1,0
1.15,0,1,57,2,0,0,5,0,2,0
1.05,1,1,75,4,0,0,5,1,4,0
1.6,0,0,62,5,0,0,8,1,1,1
1.5,1,1,71,5,0,0,3,0,4,0
2.35,1,0,67,6,0,0,7,1,1,0
1.3,1,0,60,5,0,0,8,1,4,0
1.45,1,1,66,2,0,0,6,1,1,0
1.05,1,1,68,6,0,0,6,1,5,0
1,1,0,72,6,0,0,9,1,5,0
1.2,1,0,60,5,0,0,6,1,1,0
1.55,1,1,70,6,0,0,7,1,4,0
1.2,0,1,66,2,0,1,3,0,2,0
1.25,1,1,64,5,0,0,6,1,4,0
2.65,0,1,56,4,0,1,2,0,1,1
1.7,1,0,63,3,0,0,4,1,5,1
1.25,1,1,66,5,0,0,11,0,1,0
1.3,1,1,63,3,0,0,3,0,4,0
1.25,1,0,73,6,0,0,10,1,4,0
1.3,1,1,40,3,0,0,11,1,1,0
1.15,1,1,56,3,0,1,6,0,4,1
1.75,1,0,66,7,0,0,11,1,1,0
1.5,1,1,64,4,0,0,4,1,5,0
1.05,1,0,66,6,0,0,4,1,1,0
1.2,1,0,72,5,0,0,11,1,1,0
2.15,0,1,68,3,0,1,10,0,2,0
1.1,1,0,76,6,0,0,12,1,1,0
1.1,1,1,63,3,0,0,6,0,4,1
1.8,0,0,65,3,0,0,9,0,2,0
1.5,1,1,61,2,0,0,6,0,1,1
1.6,1,1,86,2,0,0,8,0,5,0
1.9,1,1,63,3,0,0,7,1,2,0
1.6,1,1,60,4,0,0,8,1,5,1
1,1,1,70,4,0,1,5,1,2,0
1.55,1,1,67,3,0,1,3,0,5,0
1.4,1,1,52,2,0,0,5,1,5,1
1.25,1,0,66,5,0,0,10,1,2,0
1.3,1,0,77,6,0,0,6,1,4,0
1.35,1,0,68,5,0,0,3,1,2,0
1.45,0,0,65,4,0,0,4,1,1,0
1,1,0,81,3,0,0,7,1,5,0
1.95,1,0,72,5,0,0,8,1,1,0
1.75,0,1,71,2,0,0,3,0,1,0
1.4,1,1,59,6,0,0,5,0,5,0
1.3,1,0,66,5,0,0,10,1,1,0
1.55,1,1,62,3,0,0,2,0,4,1
1.2,0,1,66,2,0,0,8,0,4,0
1.3,0,1,71,2,0,0,6,1,5,0
1.6,0,1,64,2,0,0,5,1,1,0
1.7,1,0,63,5,0,0,6,1,2,0
1.85,1,1,59,4,0,0,4,0,4,0
1.9,0,1,20,3,0,1,11,0,1,0
2.2,0,1,24,2,0,0,7,1,2,1
1.55,1,0,68,5,0,0,6,1,2,0
1.1,1,1,63,4,0,0,11,1,1,0
1.7,0,0,63,3,0,0,5,1,1,0
1.35,1,1,72,5,0,0,4,0,4,0
1.5,1,1,55,7,0,0,11,1,1,0
1.25,1,1,72,5,0,0,9,1,3,0
1.2,1,1,63,2,0,0,4,1,1,0
1.2,1,0,76,4,0,0,11,1,2,0
2.9,1,0,73,5,0,0,6,1,1,0
1.15,1,1,66,6,1,0,9,0,4,1
1.65,1,0,55,5,0,0,12,1,1,0
1.45,1,0,74,5,0,0,5,0,2,0
1.05,1,1,79,5,0,0,10,1,2,0
1.6,1,0,73,6,0,0,9,1,2,0
1.6,1,0,76,5,0,0,9,1,2,0
1.1,1,0,71,6,0,0,5,1,2,0
1.1,1,1,68,4,0,0,7,1,1,0
1.1,0,1,69,3,0,0,7,0,4,0
1.15,1,1,73,5,0,0,11,1,1,0
1.1,1,1,69,6,0,1,12,1,2,0
1,1,1,81,3,0,0,6,0,4,0
1,1,1,57,4,0,0,7,1,1,0
1.7,1,0,68,3,0,0,8,1,2,0
1.4,1,0,68,2,0,0,6,1,1,0
2,1,1,55,2,0,1,2,0,1,0
1.5,1,1,64,3,0,0,4,1,4,0
1.95,1,0,83,4,0,0,11,1,1,0
1.2,1,1,67,3,0,0,11,1,5,0
1,1,0,66,6,0,0,11,1,2,0
1.05,1,1,71,5,0,0,3,1,2,0
1.35,1,1,64,6,0,0,7,1,4,0
3.4,0,1,26,5,0,1,9,0,2,0
3,1,1,58,3,0,0,4,0,2,1
1.2,1,0,77,6,0,0,11,1,4,0
1.1,1,0,69,3,0,0,2,0,1,0
1,1,1,58,4,0,0,9,0,3,0
1.7,1,1,57,5,0,0,13,1,1,0
1.7,1,0,73,5,0,0,9,1,2,0
1.5,1,1,64,6,0,0,9,0,3,0
1.3,1,1,72,3,0,0,3,1,2,0
1.55,1,0,62,4,0,0,6,1,3,1
1,1,0,72,4,0,0,6,1,1,0
1.2,1,1,70,5,0,0,4,0,1,0
1.5,1,1,72,6,0,0,6,0,2,0
1.35,1,0,81,6,0,0,10,1,5,0
2.4,0,1,57,5,0,0,6,1,2,1
1.4,0,1,55,5,0,0,9,1,2,0
1.35,1,1,57,3,0,0,5,0,3,1
1.15,1,0,73,5,0,0,11,1,4,0
1.55,1,0,78,3,0,0,3,0,1,0
1.45,1,1,60,2,0,0,2,0,2,0
1.2,1,0,77,5,0,0,8,1,3,0
1.5,1,1,63,4,0,0,8,0,2,0
2.6,0,1,20,3,0,1,4,0,2,0
1.55,0,1,75,4,0,0,2,0,1,0
1.2,1,1,79,3,0,0,10,0,2,0
1,1,0,71,5,0,0,11,1,4,0
2.75,1,1,68,3,0,0,4,0,2,0
1.2,1,1,76,6,0,0,12,1,1,0
1.15,1,0,72,6,0,0,7,0,1,0
1,1,0,72,3,0,0,5,1,1,0
1.25,1,1,69,3,0,1,6,0,4,0
1.05,1,0,66,5,0,1,2,0,3,0
1.15,1,1,57,5,0,0,5,0,3,0
2.1,1,1,59,5,0,0,5,0,1,0
3.5,1,1,20,3,0,0,2,0,1,0
1.75,1,1,71,3,0,1,2,0,2,0
1,1,0,58,6,0,0,11,1,1,0
1.8,0,1,19,5,0,1,11,0,4,1
1.15,1,0,63,6,0,0,6,0,2,0
1.35,1,0,54,5,0,0,9,1,1,0
1.35,0,0,57,3,0,0,4,0,1,1
1.6,0,0,67,5,0,0,3,0,1,0
1.3,1,0,65,4,0,0,9,0,2,0
1.55,1,1,84,6,0,0,6,0,4,0
1.2,0,1,58,2,0,0,3,0,1,1
1.2,1,0,79,2,0,0,4,0,1,0
2.3,1,1,72,5,0,0,2,0,1,0
1.15,1,1,72,2,0,0,8,1,1,1
1.05,1,1,72,3,0,0,9,1,2,0
1.35,1,0,78,6,0,0,11,1,2,0
1.6,1,0,73,4,0,0,3,0,5,0
1.65,0,1,56,6,0,0,5,0,3,1
1.55,1,0,62,5,0,0,12,0,1,0
2.4,1,1,58,2,0,0,2,1,2,1
1.25,0,1,63,2,0,0,5,1,4,0
2.05,1,1,57,4,0,0,4,0,3,1
1.35,1,0,76,2,0,0,5,1,1,0
1.15,1,1,71,6,0,0,11,1,1,0
1.05,1,1,72,3,0,0,4,1,2,0
1.1,1,0,82,5,0,0,11,1,2,0
1.6,1,1,71,3,0,0,4,1,4,0
1.8,0,1,57,4,0,0,4,1,3,0
1.35,1,1,72,6,0,0,6,0,1,0
1.5,1,1,72,4,0,0,4,0,4,0
1.2,1,0,68,5,0,0,7,1,2,0
1,1,0,68,3,0,0,13,1,2,0
1.05,0,1,68,7,0,0,13,1,1,0
1.1,1,0,63,5,0,0,11,1,2,0
2.25,1,1,68,4,0,0,4,1,2,0
1.15,1,1,79,2,0,0,2,0,2,0
2.1,1,1,57,5,0,0,5,0,2,1
2,1,1,66,2,0,1,6,0,4,0
1.4,1,1,70,5,0,0,6,0,2,1
1.5,1,0,71,3,0,0,9,1,1,1
1.75,1,1,66,3,0,0,4,0,1,0
1.65,1,0,63,4,0,0,5,0,4,1
1.15,1,1,67,6,0,0,2,0,1,0
1.15,1,0,72,7,0,0,13,1,1,0
2.5,1,0,57,3,0,1,4,0,2,1
2.3,1,1,66,5,0,0,6,1,4,0
1.1,1,0,69,5,0,0,8,1,4,0
3.2,0,0,23,2,0,0,2,0,2,1
1.2,1,0,70,3,0,0,11,1,1,0
1,1,0,64,2,0,0,11,1,1,0
1.2,1,1,61,4,0,0,4,1,1,0
1.45,1,0,66,4,0,0,7,1,4,0
1.15,1,0,69,5,0,0,11,1,3,0
1.15,0,1,55,3,0,0,5,1,2,0
1.6,0,1,68,2,0,0,2,0,4,0
2.75,1,1,56,4,0,0,2,0,4,0
1.35,1,0,70,6,0,0,11,1,2,0
1.45,1,1,71,7,0,0,12,1,2,0
1.1,1,1,66,3,0,0,11,1,4,0
1.5,1,1,66,5,0,0,3,0,1,0
1.1,1,0,67,5,0,0,6,1,2,0
1.8,0,1,60,5,0,0,4,0,2,0
1.9,1,1,64,5,0,0,11,0,2,0
1.65,1,1,46,3,0,0,6,0,2,0
1.4,1,0,55,2,0,0,4,1,1,0
1.2,1,1,55,4,0,0,12,1,2,0
1.9,1,1,62,4,0,0,4,1,2,1
2.2,1,1,58,3,0,0,1,0,5,1
1.8,1,0,62,5,0,0,4,1,4,0
2.2,1,0,64,2,0,0,4,1,1,0
1.5,0,0,59,2,0,0,9,1,2,1
1.65,1,1,57,3,0,0,2,0,4,1
1.4,0,0,56,2,0,0,5,0,4,0
1.75,0,1,55,3,0,0,4,1,3,0
1.35,1,0,57,2,0,0,6,0,3,0
1,1,1,63,2,0,1,2,0,5,0
1.3,1,1,62,4,0,0,11,1,2,0
1.6,1,1,61,2,0,0,4,1,1,1
2,1,0,58,6,0,0,11,0,4,0
1.05,1,0,64,3,0,0,7,1,5,0
1.6,0,0,59,6,0,0,11,1,2,0
1.7,1,1,61,2,0,0,5,0,4,0
2.7,1,1,60,5,0,0,10,0,1,0
2.6,0,0,19,2,0,0,9,0,2,1
1,0,1,55,2,0,0,6,0,1,1
2.2,0,0,21,2,0,1,6,0,4,1
1.5,0,0,58,4,0,0,1,0,1,0
1.85,1,0,45,5,0,0,10,0,1,0
1.2,1,1,63,7,0,0,11,1,1,0
1.4,1,1,62,5,0,0,11,0,1,0
1.4,1,1,55,5,0,0,9,1,4,0
2.5,0,1,56,5,0,0,11,1,4,0
1.75,0,1,63,2,0,0,4,0,2,0
1.3,1,1,64,2,0,1,4,0,3,0
2.5,0,1,55,2,0,0,9,1,1,0
3.15,1,1,63,3,0,0,2,1,4,1
1.15,1,1,56,2,0,0,4,1,1,1
1.4,0,0,55,3,0,0,4,0,2,0
2.6,0,1,60,2,0,0,2,0,1,0
1.5,1,1,63,2,0,0,4,1,5,1
1.95,0,1,33,5,0,0,11,1,2,1
1.7,1,1,59,3,0,0,7,1,5,0
1.95,1,1,56,5,0,0,11,1,2,0
1.1,1,1,60,4,0,0,4,0,5,1
1.15,0,1,58,3,0,1,4,0,5,0
1.4,1,0,50,5,0,0,12,0,1,0
1.15,1,0,51,4,0,1,11,1,1,0
1.45,1,0,64,4,0,0,6,1,1,0
1.15,1,1,57,3,0,0,13,1,2,1
2.45,1,1,60,6,0,0,7,0,1,0
1.9,1,0,64,6,0,0,4,0,2,1
1.6,1,0,57,5,0,0,11,1,1,0
1.1,0,0,59,2,0,0,11,1,1,0
1.4,1,1,63,3,0,0,5,1,2,1
1.95,1,0,57,3,0,0,2,1,4,1
1.1,1,0,63,5,0,0,12,1,2,0
2.2,0,1,19,1,0,0,3,0,1,1
1.4,0,1,29,3,1,0,5,0,1,0
3.55,0,1,21,2,0,1,1,0,3,1
1.9,1,1,20,2,0,0,3,0,1,1
2.5,0,1,21,4,0,0,6,0,4,0
2.5,0,1,23,2,0,0,6,0,1,0
1.8,0,1,21,3,0,0,4,0,2,0
1.8,0,1,20,3,0,0,8,0,1,1
3.35,0,1,19,3,0,0,3,0,1,1
